[INFO] 2016-12-11 16:49:50,943  New domain was found by BingPlugin: premium.ava.garena.com
[INFO] 2016-12-11 16:49:50,943  New domain was found by BingPlugin: forum.lol.garena.com
[INFO] 2016-12-11 16:49:50,944  New domain was found by BingPlugin: clan.intl.garena.com
[INFO] 2016-12-11 16:49:50,944  New domain was found by BingPlugin: account.garena.com
[INFO] 2016-12-11 16:49:50,944  New domain was found by BingPlugin: shop.fo3.garena.com
[INFO] 2016-12-11 16:49:50,944  New domain was found by BingPlugin: gcl.garena.com
[INFO] 2016-12-11 16:49:50,946  New domain was found by BingPlugin: www.garena.com
[INFO] 2016-12-11 16:49:50,946  New domain was found by BingPlugin: pay.garena.com
[INFO] 2016-12-11 16:49:50,947  New domain was found by BingPlugin: dailytask.lol.garena.com
[INFO] 2016-12-11 16:49:50,947  New domain was found by BingPlugin: iwcavote.garena.com
[INFO] 2016-12-11 16:49:50,947  New domain was found by BingPlugin: security.garena.com
[INFO] 2016-12-11 16:49:50,948  New domain was found by BingPlugin: hon.garena.com
[INFO] 2016-12-11 16:49:50,948  New domain was found by BingPlugin: forum.ava.garena.com
[INFO] 2016-12-11 16:49:50,950  New domain was found by BingPlugin: gcms2.garena.com
[INFO] 2016-12-11 16:49:50,950  New domain was found by BingPlugin: pb.garena.com
[INFO] 2016-12-11 16:49:50,951  New domain was found by BingPlugin: borrow.garena.com
[INFO] 2016-12-11 16:49:50,953  New domain was found by BingPlugin: design.ava.garena.com
[INFO] 2016-12-11 16:49:50,953  New domain was found by BingPlugin: kakibolaclash.fo3.garena.com
[INFO] 2016-12-11 16:49:50,953  New domain was found by BingPlugin: t.garena.com
[INFO] 2016-12-11 16:49:50,953  New domain was found by BingPlugin: sso.garena.com
[INFO] 2016-12-11 16:49:50,953  New domain was found by BingPlugin: pickem.lol.garena.com
[INFO] 2016-12-11 16:49:50,954  New domain was found by BingPlugin: event.poe.garena.com
[INFO] 2016-12-11 16:49:50,956  New domain was found by BingPlugin: reset2ndpass.fo3.garena.com
[INFO] 2016-12-11 16:49:50,957  New domain was found by BingPlugin: career.garena.com
[INFO] 2016-12-11 16:49:50,957  New domain was found by BingPlugin: lol.garena.com
[INFO] 2016-12-11 16:49:50,957  New domain was found by BingPlugin: lolachievements.garena.com
[INFO] 2016-12-11 16:49:50,957  New domain was found by BingPlugin: auth.garena.com
[INFO] 2016-12-11 16:49:50,960  New domain was found by BingPlugin: ava.garena.com
[INFO] 2016-12-11 16:49:50,961  New domain was found by BingPlugin: poe.garena.com
[INFO] 2016-12-11 16:49:50,963  New domain was found by BingPlugin: web.poe.garena.com
[INFO] 2016-12-11 16:49:50,963  New domain was found by BingPlugin: beta-launch.garena.com
[INFO] 2016-12-11 16:49:50,963  New domain was found by BingPlugin: ranking.fo3.garena.com
[INFO] 2016-12-11 16:49:50,963  New domain was found by BingPlugin: pbic.pb.garena.com
[INFO] 2016-12-11 16:49:50,963  New domain was found by BingPlugin: level.garena.com
[INFO] 2016-12-11 16:49:50,964  New domain was found by BingPlugin: support.lol.garena.com
[INFO] 2016-12-11 16:49:50,966  New domain was found by BingPlugin: freeday.ava.garena.com
[INFO] 2016-12-11 16:49:50,966  New domain was found by BingPlugin: headshot.garena.com
[INFO] 2016-12-11 16:49:50,967  New domain was found by BingPlugin: fo3.garena.com
[INFO] 2016-12-11 16:49:50,967  New domain was found by BingPlugin: forum.fo3.garena.com
[INFO] 2016-12-11 16:49:50,976  New domain was found by BingPlugin: beta.lol.garena.com
[INFO] 2016-12-11 16:49:50,976  New domain was found by BingPlugin: mycl.lol.garena.com
[INFO] 2016-12-11 16:49:50,976  New domain was found by BingPlugin: gcg.garena.com
[INFO] 2016-12-11 16:49:50,976  New domain was found by BingPlugin: golddragon.ava.garena.com
[INFO] 2016-12-11 16:49:50,977  New domain was found by BingPlugin: changename.garena.com
[INFO] 2016-12-11 16:49:50,977  New domain was found by BingPlugin: dailylogin.ava.garena.com
